video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
_wfrNbLguWw,LOCK  (MUSIC VIDEO) SIDHU MOOSE WALA  | THE KIDD  | NAVKARAN BRAR,"Sidhu Moose Wala Presents 

Song - LOCK
Singer/Lyrics/Composer - Sidhu Moose Wala 
Music - The Kidd
Mix Master - Dense
Video - Navkaran Brar

Audio Available 
Spotify -https://open.spotify.com/album/26w8VWnNdWUcF5rRZc2rrZ?si=1&nd=1&dlsi=5e4b688a212a46a2
Apple Music - https://music.apple.com/ca/album/lock-single/1792088565
Amazon Music - https://music.amazon.ca/albums/B0DTSP81BD
Youtube Music - https://music.youtube.com/playlist?list=OLAK5uy_l28G4yDIi-bL8zDKAUB6xn4TLjqIuNnvQ
Deezer - https://www.deezer.com/us/album/701785971
JioSaavn - https://www.jiosaavn.com/song/lock/JzETQyQGeAQ
Tidal - https://tidal.com/browse/album/413284739


Click to Subscribe - https://bit.ly/SidhuMooseWalaSubscribe
Twitter - https://www.twitter.com/iSidhuMooseWala
Facebook - https://www.facebook.com/SidhuMooseWala
Instagram - https://instagram.com/Sidhu_MooseWala
Snapchat - https://www.snapchat.com/add/SidhuShubh",2025-01-23T03:45:31Z,UC9ChdqQRCaZmTCwSJ49tcbw,Sidhu Moose Wala,10,"['sidhu moosewala', 'sidhu moosewala latest song', 'sidhu moosewala leaked songs', 'sidhu moosewala official videos', 'sidhu moosewala official song', 'latest punjabi song 2020', 'lock Sidhu moose wala', 'lock sidhu', 'lock Sidhu moose wala punjabi songs 2024', '2025 punjabi songs latest', 'latest punjabi song 2025 lock song', 'Sidhu moose wala all songs', 'lock song', 'lock song new', 'Sidhu new lock 2025 songs']",PT3M2S,hd,false,13370778,1491952,0,0,263897
lRcv6ClWe-c,Cycle ko bhoot chala raha hai 🚲😥 wait for twist #short #viralshort #funny ￼,,2025-01-20T14:32:49Z,UCHQKOUIQLAT9-aCMND2BZeA,Surjeet Swag,24,[],PT18S,hd,false,18200881,267689,0,0,366
Mb9Ur5RBYy4,Ghar mein aaya sher😂🥰❤️ #familylovestory #unknownboyvarun #shorts,,2025-01-17T06:26:26Z,UC4DLvb5xZ9OLcVM1KC_R97g,unknown boy varun,10,[],PT1M,hd,false,17174356,495247,0,0,439
-9pyT7hRYFU,全家踩气球大PK，第一个怎么这么难弄破!#萌娃#亲子#亲子日常#游戏#挑战,"欢迎来到【搞笑爸爸带俩娃】频道！👨‍👧‍👦✨

这里是亲子搞笑视频的欢乐天地，我们通过视频展示爸爸与两个孩子的日常生活中的各种搞笑瞬间，希望为你带来欢笑和温馨。每一个视频都是精心制作的，希望你能从中感受到家庭生活的乐趣和亲子互动的美好。🎥😂

我们非常重视与观众的互动，你的每一条评论和点赞都是我们继续创作的动力。🌟

如果你喜欢我们的内容，请务必订阅频道，并点击小铃铛图标，与我们互动，分享你的想法和建议。🔔

加入【搞笑爸爸带俩娃】的大家庭，一起分享那些充满欢笑和温馨的亲子时刻吧！🌈

所有视频取得中国大陆创作者授权，严格遵守平台规定。🛡️",2025-01-16T09:24:03Z,UCQOF2eGU5PJwglpeVbWUeSg,搞笑爸爸带俩娃,22,"['亲子搞笑视频', '家庭搞笑片段', '搞笑爸爸', '亲子互动', '家庭娱乐', '搞笑日常', '亲子时光', '家庭欢乐', '搞笑视频合集', '家庭趣事', '亲子搞笑瞬间', '搞笑爸爸日常', '家庭幽默', '亲子搞笑片段', '家庭欢乐时光', '搞笑爸爸与孩子', '搞笑父子', '搞笑父女', '家庭搞笑时刻', '亲子搞笑互动', '家庭欢乐时刻', '搞笑家庭片段', '亲子搞笑视频合集', '搞笑家庭生活', '搞笑爸爸搞笑视频', '亲子娱乐', '家庭搞笑', '搞笑视频精选', '搞笑爸爸与俩娃', '亲子搞笑故事']",PT50S,hd,false,15742957,229332,0,0,60
m7hPtljtA0I,😳😰Republic Day🇮🇳Aandhi ki Dosti😭😭||Vishvi official|#trending #emotional #youtubeshorts#sad,,2025-01-22T09:12:05Z,UCXybSMD7tfqD2scUCg8MydA,Vishvi Official,22,[],PT1M15S,hd,false,9965616,437211,0,0,1379
wmMp-3baWAc,Don't Fall vs 100km/h 🙈😱,Oooops..,2025-01-18T16:30:14Z,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,17,[],PT34S,hd,false,37883291,1059425,0,0,1600
OFi6TTLCBfE,Chintu & his Rich friend🤑🤑 #shorts #trending,,2025-01-21T07:23:01Z,UCpAjFBZZ2AO-K_Ly10KIj1w,Adarsh Solanki,24,[],PT1M23S,hd,false,7520476,190763,0,0,180
0nn1264OqKE,Happy makarsakranti dosto #happymakarsankranti #surajactor,,2025-01-13T09:55:04Z,UC2fvyma9iKsjN9EZW_FWW1A,Filmy Suraj Actor,24,[],PT48S,hd,false,50371061,1356580,0,0,1473
ZZUyqzss-7k,🦑🎮 Round two! Will he make it? #PuffSurvives #SquidGameSequel #thatlittlepuff #Mesucalife,"🎥 Dive into Puff's new Chef Vedio! Watch as Puff crafts and creates—each video a story told with paws and imagination. #CraftyPuff #diyfun 

SIGN-UP MEMBERSHIP ➤ https://www.youtube.com/channel/UClFN9LShD_Pv0wnSeUKbUZw/join

Puff's Store: https://www.thatlittlepuff.com/

The one and only cooking cat, That Little Puff, is here on YouTube! 
We share all different kinds of quick recipes and experiments prepared by Puff, AKA, Meow Chef.

Tiktok ➤  https://www.tiktok.com/@thatlittlepuff
Instagram ➤ https://www.instagram.com/thatlittlepuff/?hl=en
Facebook ➤  https://www.facebook.com/thatlittlepuff
Twitter ➤ https://twitter.com/thatlittlepuff_
Snapchat ➤ https://www.snapchat.com/add/thatlittlepuff3
——————————————————————————————
✨️More exciting contents you will like~🤩
【Puff's Most Viewed Compilation】👉️ https://youtube.com/playlist?list=PLOu1buj_2n--NYVOy-Rn1NN2qqhYjQtBI&si=5V40AXQSLu2zHhSE
【Puff's Cooking Moments】👉️https://youtube.com/playlist?list=PLOu1buj_2n--p_-NrrJYbsKW-wDD-VJZH&si=cUcIbqWZui3dZRFC
【Puff's magical experiment】👉️https://youtube.com/playlist?list=PLOu1buj_2n-8BDpI8eFEHHs6Csjv_r7iq&si=REW203fuEFoILVul
【Puff's Handcraft】👉️https://youtube.com/playlist?list=PLOu1buj_2n-_0Vwi8Br4Joi0TsewA9KOj&si=fAzjnp1YJLIidmD0
【Puff's ASMR Videos】👉️https://youtube.com/playlist?list=PLOu1buj_2n-83CSMKnSlmxcxHi9imHE8P&si=wjCbdj5PAmetoTJJ",2025-01-16T03:27:27Z,UClFN9LShD_Pv0wnSeUKbUZw,That Little Puff,15,"['Cat', 'That Little Puff', 'DIY', 'Pet', 'ASMR', 'Hacks', '料理猫', '泡芙猫', 'Meow Chef', 'cat game', 'Food', 'Imagination', 'Creative drinks', 'Animal Chef', 'shorts', 'Collection', 'thatlittlepuff', 'Puff', 'Chef', 'DIY fun', 'Craft', 'cute cat', 'vedio', 'smart', 'Smart Cat', 'life hack', 'money', 'Handmade', 'creativity', 'Funny vedio', 'satisfying hacks', 'physics tricks', 'test', 'real or fake', 'funny', 'tricks', 'creation', 'challenge', 'holiday', 'Baker', 'Squid Game']",PT40S,hd,false,160406935,3995933,0,0,10057
8afWlEGFnLA,Jab Dolphin trick Me Hui Gadbad  ( 🎥_@umer2m ),,2025-01-13T12:46:34Z,UCOU9l0XsEmJPr-PGcb8F5ZA,RSMSA,24,[],PT41S,hd,false,27626182,1173731,0,0,1601
fxOOCsa227o,"Meem Se Mohabbat - Episode 11 [CC] 22nd Jan 2025 - Spons By foodpanda, Master Paints, Skin White","👉 Subscribe To HUM TV - https://bit.ly/HumTvPK

Meem Se Mohabbat - Episode 11 [CC] 22nd Jan 2025 - Spons By Food Panda, Master Paints, Skin White [ Dananeer Mobeen & Ahad Raza Mir ] - HUM TV

Digitally Presented By foodpanda 
Digitally Powered By Master Paints 
Digitally Associated By Skin White 


'Meem Se Mohabbat’ revolves around a moving tale that artfully intertwines coincidence and destiny, bringing together two souls who could not be more dissimilar in their essence. In a world brimming with uncertainties, love manifests in the most unforeseen moments, defying the boundaries of logic, past and circumstance.

Writer:Farhat Ishtiaq 
Director:Ali Hassan 
Producer:Momina Duraid Productions 

Cast:
Ahad Raza Mir
Dananeer Mobeen
Zarrar Khan
Khadija Saleem
Faiza Gilani
Tehseen Wajahat
Rabia Rizwan
Zainab Mazhar
Muhammad Hunbal
Naveen Naqvi
Arshad Mahmood
Irfanullah
Neha
Abu Hurairah
Raana Zafar
Touseeq Haider

#meemsemohabbatep11
#dananeermubeen
#ahadrazamir 
#pandapro 
#masterpaints 
#WinterKaPerfectCompanion",2025-01-22T16:00:47Z,UCEeEQxm6qc_qaTE7qTV5aLQ,HUM TV,24,"['drama in hindi', 'drama', 'top pakistani drama', 'best pakistani drama', 'pakistani serial 2025', 'pakistani drama 2025 new', 'pakistani drama 2025 new episode', 'pakistani drama 2025 last episode', 'pakistani drama 2025 latest episode', 'pakistani drama new', 'pakistani dramas', 'Meem Se Mohabbat ep 11', 'Dananeer', 'Dananeer Mobeen', 'Meem Se Mohabbat Ep 11', 'Meem Se Mohabbat episode 11', 'Meem Se Mohabbat Episode 11', 'meem se muhabbat 11', 'meem se', 'muhabbat', 'meem se mohabbat episode 11', 'muhabbat gumshuda']",PT37M18S,hd,true,13557992,286006,0,0,7606
JrVcXGrFnXw,居然可以这样哦？#火影忍者 #佐助 #家庭,"欢迎来到【小蚂蚁】频道！🐜🌍🐂

这里是小蚂蚁依依、小宇宙浩宇和小魔王浩鸣的欢乐领地，三个性格迥异的萌娃将带领你进入他们的搞怪日常，体验充满欢笑和意想不到的冒险。😄🎈

依依，作为姐姐，古灵精怪，总能以她独特的视角发现生活中的乐趣。🐜浩宇，活泼开朗的弟弟，他的好奇心总是引领着大家探索未知的世界。🌍而浩鸣，作为家中的小魔王，调皮捣蛋却又不失可爱，总能给家庭带来满满的欢乐。🐂

在这里，你将看到这三个小宇宙的日常趣事，每一刻都充满了温暖和笑声。💖

🔔 如果你喜欢我们的视频，记得订阅并点击小铃铛图标。

请注意，本视频符合平台的使用要求，没有任何违规行为。

我们的视频制作团队会特别关注儿童的安全需求，确保内容不会对其造成任何危害。",2025-01-17T08:30:09Z,UC_Np5NHrORbF6wbRVZjMHtg,火影忍者一家,22,"['小蚂蚁', '萌娃日常', '搞怪日常', '意想不到的结局', '姐姐依依', '弟弟浩宇', '弟弟浩鸣', '人类幼崽', '萌娃搞笑', '家庭欢乐', '幼儿成长', '宠物趣事', '亲子互动', '家庭日常', '童年趣闻', '儿童游戏', '童言无忌', '儿童手工', '萌宝贝', '儿童绘画', '儿童阅读', '家庭烹饪', '儿童摄影', '家庭趣事']",PT33S,hd,false,25046088,325269,0,0,82
NwN6dWwMFzs,Mummy nai gaurav say popcorn kyu chin liye #shorts #youtubeshorts #gauravaroravlogs,,2025-01-14T07:30:14Z,UCZrBQSMI1mme3xGHl6hqfNQ,Gauravaroravlogs ,24,[],PT19S,hd,false,19946647,276945,0,0,215
XbLrK4ROwmc,Rangoli Competition Hua School Mai 😍 #rangoli #school #competition #minivlog,,2025-01-18T10:45:23Z,UCrWc5vUgSM4MvZWI3_2iQ8Q,Sanjhalika Vlog,22,[],PT53S,hd,false,13956205,259276,0,0,398
M0wG4ywS-xU,Iqtidar Episode 38 (Subtitles) 24th January 2025 | Anmol Baloch - Ali Raza | Green TV Entertainment,"Subscribe👉 https://bit.ly/GreenTvEntertainment To Watch Best Pakistani Dramas Of Green TV Entertainment  

Iqtidar Episode 38 (Subtitles) 24th January 2025 | Digitally Powered By Jhalak Beauty Cream | Anmol Baloch - Ali Raza | Green TV Entertainment

Watch Full OST: https://youtu.be/LGyoUYq7osA

The story of a Girl (Mehrunisa) whose father has passed away, and she is supporting her family. Meanwhile, his brother is killed in an accident. Now Mehrunisa raises her voice for the justice of her brother; thus, the lie and the truth will face each other, and the truth will win.

Written by: Hina Huma Nafees
Directed by: Fahim Burney
Presented By: Multiverse Entertainment

Featuring:
Anmol Baloch
Ali Raza
Javed Sheikh
Rubina Ashraf
Seemi Pasha
Sami Khan
Roma Michael 
Ahmed Randhawa
Rabia Rizwan
Eman Khan
Jawed Sheikh
Mizna Waqas
Atif Rathore
Hareem Sohail
Anees Alam
Maryam Jaffri
Fuzan Khan
Noman Kahout
Sabahat Bukhari

#iqtidarep38 
#greentv
#pakistanidrama                        

Subscribe now and enjoy a whole new world of entertainment with Green TV.
Follow Us:
Facebook:    https://www.facebook.com/greenentertainmentofficial
Instagram:   https://www.instagram.com/greenentertainment.official
Twitter:         https://twitter.com/Greentvpakistan
TikTok:         https://www.tiktok.com/@greenentertainmenttv
Website:       https://www.greenentertainment.tv",2025-01-24T16:00:06Z,UCF2ltLX1dnPa6-L1paPaMzw,Green TV Entertainment,24,"['Iqtidar', 'Iqtidar Drama', 'Green Tv', 'Green Tv Drama', 'Green Entertainment Drama', 'Full Romantic Love Story', 'Anmol Baloch Drama', 'Best Drama Anmol Baloch', 'Anmol Baloch Drama Iqtidar', 'ali raza drama', 'Iqtidar Episode 38', 'Iqtidar Ep 38', 'iqtidar episode 38', 'Iqtidar OST', 'Green Tv OST', 'iqtidar ep 38', 'Watch Iqtidar Episode 38', 'Iqtidar Latest', 'Iqtidar Latest Episode 38', 'Iqtidar 38', 'watch Iqtidar Episode 38', 'iqtidar drama', 'iqtidar', 'pakistani drama', 'iqtidar latest', 'Iqtadar', 'Watch Iqtidar']",PT36M53S,hd,true,7909987,185310,0,0,5707
KwgTq3pBXas,Avoid The Dragon Challenge😱,,2025-01-15T12:58:00Z,UCyagEfIN1okQ-s996XAqCFQ,Zhong,24,"['Zhong', 'zhong', 'zhong girlfriend', 'zong', 'zong and kat', 'kat', 'zong girlfriend', 'zhong and kat', 'comedy', 'skit']",PT54S,hd,false,36605578,1202102,0,0,1510
JCnl0DIOiFs,Kabhi Mat Karna  #scienceandfun #ashusir #chemistry #experiment #ytshorts #shorts,,2025-01-15T11:46:50Z,UCACU6FM4RgOgX0IHB7dudFA,Science and fun,28,[],PT59S,hd,false,22305907,854836,0,0,1421
BmpRnfu16YA,Haya’s Luxury HOME TOUR🏡🤑|Modern Kitchen Design😍|Full Pink Room💖| Sistrology,"#fatimafaisal #sistrology #fatimaoruskichalakiyan 
Thanks for watching don’t forget to Like this video and subscribe my channel

Follow me on Instagram 
https://instagram.com/fatimafaisal_?igshid=NDBlY2NjN2I=

My New Channel 
https://youtube.com/@Fatimaoruskichalakiyann?si=bV-4A7RW1lUkYW",2025-01-16T14:28:04Z,UCcSvETpIauCWeZeFP9iHn9Q,Fatima Faisal,24,"['saif ali khan', 'sistrology', 'rajab butt', 'funny', 'ducky bhai', 'food', 'home tour', 'kitchen', 'decor', 'interior', 'paint', 'real estate']",PT38M24S,hd,false,2603956,71135,0,0,3915
-EaR72jtZ4M,Family Of The Year😂🙈✅,,2025-01-20T07:30:00Z,UCH8x9zAJbpfipmHosNuwu_A,Endless Love,10,[],PT15S,hd,false,27103771,1015401,0,0,3262
ELjlXVAZFJw,Respect Students 😭❤️ #shorts #school #emotional #horror #funny #makarsankranti,,2025-01-11T14:38:00Z,UC_cdxikvfl_ntmtW6loibKA,Jomy Production,24,[],PT52S,hd,false,49120956,1005190,0,0,2162
gF377qBTFok,เครื่องใช้ไฟฟ้าสุดชาญฉลาด อุปกรณ์สำหรับทุกบ้าน 🌟 เคล็ดลับการเลี้ยงลูก,"วิดีโอนี้จัดทำขึ้นเพื่อความบันเทิง ผู้ผลิตไม่รับประกันใด ๆ ในความสมบูรณ์ ความปลอดภัย และความน่าเชื่อถือ การกระทำใด ๆ ที่ทำตามข้อมูลในวิดีโอนี้ ถือเป็นความเสี่ยงของผู้กระทำเอง และผู้ผลิตจะไม่รับผิดชอบต่อความเสียหาย หรือการสูญเสียใด ๆ 
ถือเป็นความรับผิดชอบของผู้ชม ในการใช้วิจารณญาณ การดูแล และข้อควรระวัง หากผู้ชมจะปฏิบัติตาม
วิดีโอต่อไปนี้อาจมีกิจกรรมที่ดำเนินการโดยนักแสดงของเรา ที่อยู่ภายใต้สภาพแวดล้อมที่มีการควบคุม โปรดใช้วิจารณญาณในการดูแลและข้อควรระวัง หากจะปฏิบัติตาม",2025-01-12T16:45:02Z,UCgc1JadLuPOITrBVn55LjwQ,ลาลาไลฟ์ Shorts,26,"['การแกล้ง', 'การแกล้งจากติ๊กต่อก', 'ความงาม', 'ชาเลนจ์', 'ติ๊กต่อก', 'ลาลาไลฟ์', 'วัยรุ่น', 'วิธี', 'สนุก', 'เคล็ดลับ', 'เรื่องสั้นแสนสนุก', 'ไวรัล']",PT21S,hd,false,25800303,320896,0,0,91
-Pc11FzOdvc,A Day With A Street Dog😭 #shorts #trending,,2025-01-13T04:14:52Z,UCpAjFBZZ2AO-K_Ly10KIj1w,Adarsh Solanki,24,[],PT1M26S,hd,false,21012847,667512,0,0,2190
j6HLO7F7X0o,Car Ka Bohot Bada Pilot✈️🤣 #shorts #comedy #funny #trending #explore,"•




•



his video is made purely for entertainment .We are not harming anything in this video
Funny videos
Funny short video
Emotional funny video
Comedy video
Comedy shorts video
Funny story
Funny content
Funny video
Comedy whatsapp status
#shortsbeta #short #shortsviral #funny #funnyshorts #funnyvideos #comedy #comedyvideo #comedyshorts #alianaskhan #humanity #inspirationalvideo #jokar #funnyclips #exam #examlife #examskill #exampreparation #school",2025-01-14T14:37:35Z,UCvvIFwcqcPoC24NHnrX6Suw,Ali Anas Khan,23,"['Ali Anas Khan', 'Ali Anas Khan videos', 'Funny videos', 'Funny concept', 'Funny emotional', 'Funny short videos', 'Ali Khan funny videos', 'Funny content', 'Funny', 'Funny shortcut', 'Comedy videos', 'Comedy short videos', 'Ali Anas Khan comedy', 'Rampur Comedy videos', 'Rampur Youtube', 'Comedy short', 'Comedy short video', 'Funny short content', 'Funny story', 'Comedy story', 'Alias Comedy']",PT1M,hd,false,4099347,118547,0,0,92
w3gDJfMUiM0,Wait for her reaction😱🤣 #couplegoals #hcpk,,2025-01-08T09:50:40Z,UC8-FOsZtt8VspFmiNg1X5QA,HCPK,24,[],PT17S,hd,false,29745824,543617,0,0,665
k2_abrrgfXY,Jhuth bolo momos free khao 😂❤️🫶🏻 #trendingshorts #shorts #amishaforyou,,2025-01-13T07:30:17Z,UCi3MAWavUCdKqjpiqqUSqMQ,Amishaforyou,24,[],PT56S,hd,false,19804171,1199317,0,0,707
